DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
MAPY,GRAND ST SETTLEMENT DUAL CENTER #1,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQA,VIRGINIA DAY NURSERY,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQG,GRAMERCY SCHOOL,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQH,GODDARD RIVERSIDE PRESCHOOL AT W 83RD 2,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQI,THE CHILD CENTER OF NY,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQL,GODDARD RIVERSIDE DAY CARE CENTER AT WEST 84TH STREET 3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQR,"RENA CHILD CARE CENTERS, INC.",80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAQT,UNION CARVER EARLY CHILDHOOD PROGRAM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARB,LSSMNY: EARLY LIFE CHILDREN'S CENTER 11,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARD,GRANT DAY CARE CENTER,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARH,LSSMNY: EARLY LIFE CHILDREN'S CENTER 13,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARJ,GRAHAM WINDHAM DCC,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASA,ADDIE MAE COLLINS 3,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASH,FRIENDS OF CROWN HEIGHTS DCC #28,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASJ,CHILDREN'S AID SOCIETY MILBANK EARLY CHILDHOOD PROGRAM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASK,EAST HARLEM CENTER,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASL,HUDSON GUILD CHILDREN'S CENTER I,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASN,COMMUNITY LIFE CENTER 1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASP,GODDARD RIVERSIDE HEAD START CENTER @ W 95TH ST 4,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASV,SCAN LAGUARDIA HOUSE NURSERY,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MASX,PEQUENOS SOULS DAY CARE CENTER,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATB,THE CHILDREN'S AID SOCIETY TAFT EARLY CHILDHOOD CENTER,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATI,LSSMNY: EARLY LIFE CHILDREN'S CENTER 12,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATK,BANK STREET HEAD START,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATL,"CHINATOWN DAY CARE CENTER, INC.",52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATM,CHINESE COMMUNITY CONCERNS CORP.,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATO,DEWITT REFORMED CHURCH HEAD START,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATP,LSSMNY: EARLY LIFE CHILDRENS CENTER 14,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATQ,ESCUELA HISPANA MONTESSORI 2,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATU,GRAND ST SETTLEMENT HEAD START CENTER,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUA,EDUCATION ALLIANCE - E BROADWAY,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUB,UNIVERSITY SETTLEMENT ECC,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUC,GRAND ST SETTLEMENT,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUH,BELLEVUE-EDUCARE CHILDCARE CENTER,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUJ,CHILDREN'S AID AT P.S. 50,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUK,CHILDREN'S AID SOCIETY,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUL,BMCC EARLY CHILDHOOD CENTER,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUM,CHUNG PAK DAY CARE CENTER,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUN,EISMAN DAY NURSERY,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUP,HUDSON GUILD CHILDREN'S CENTER,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUT,YWCA-NYC POLLY DODGE EARLY LEARNING CENTER,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUU,GARMENT INDUSTRY DAY CARE CENTER,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUW,HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUY,HAMILTON MADISON HOUSE EARLYLEARN CENTER 6,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAUZ,BLOOMINGDALE FAMILY PROGRAM I,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVA,BLOOMINGDALE FAMILY PROGRAM 2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVB,BLOOMINGDALE FAMILY PROGRAM III,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVG,HARLEM GEMS @ P.S. 149,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVK,THE CHILDREN'S AID SOCIET FREDERICK DOUGLASS EARLY CHILDHOOD PROGRAM,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVM,CITIZENS CARE DCC #1,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVN,OPEN DOOR CCC,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVO,HARLEM CHILDREN'S ZONE HEAD START,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVQ,MABEL BARRETT FITZGERALD DCC,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVR,EAST CALVARY DCC,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVS,"BOYS & GIRLS HARBOR, INC.",57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVX,FRANKLIN PLAZA,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAVY,METRO NORTH CHILDCARE CENTER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWA,UNION WASHINGTON CHILD CARE CENTER,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWD,ADDIE MAE COLLINS 2,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWG,EAST HARLEM COUNCIL FOR HUMAN SERVICES BILINGUAL HEAD START PROGRAM,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWH,EAST HARLEM CHS BILINGUAL HEAD START - 111TH,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWI,NORTHSIDE CENTER DAY SCHOOL,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWJ,HARLEM GEMS NORTH,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWM,ABC / ECHO PARK ECDC,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWT,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWW,URBAN CONCEPTS/ROUND THE CLOCK,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWX,UTOPIA CHILDREN'S CENTER,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAWZ,CITIZENS CARE DCC 3,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXC,ECDO CHILD START CENTER,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXF,ADDIE MAE COLLINS 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXH,SAINT ELIZABETH,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXJ,FT GEORGE HEAD START CENTER # 1,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXM,NORTHERN MANHATTAN HEAD START,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXO,UFBCO,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXS,WASHINGTON HEIGHTS DCC,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXT,NICHOLAS CARDELL DAY CARE CENTER,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXV,DOMINICAN WOMEN'S DEVELOPMENT CENTER,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXX,VICTORIA CHILDREN'S GROUP,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXY,ROOSEVELT ISLAND DAY NURSERY,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXZ,HENRY STREET SETTLEMENT DAY CARE,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAYH,HUDSON GUILD,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAYJ,NEW YORK CENTER FOR CHILD DEVELOPMENT,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAYL,SUNSHINE DAYCARE EAST HARLEM,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZB,EVOLUTION ENRICHMENT CENTER,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZI,CATHEDRAL PARKWAY TOWERS PRESCHOOL,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZL,EAST HARLEM BLOCK NURSERY 2,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZN,GODDARD RIVERSIDE DAY CARE 1,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZQ,THE CHILDREN'S AID SOCIETY'S P.S. 5 EARLY CHILDHOOD PROGRAM,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZS,"EDUCATIONAL ALLIANCE, INC.@ P.S. 142",20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZT,DAWNING VILLAGE,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAZZ,CHILDREN'S AID SOCIETY AT P.S. 8,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBAG,MILESTONES UWS,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBAJ,ABYSSINIAN DEVELOPMENT CORP 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBAU,SACRED HEART PAROCHIAL,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBBE,LEXINGTON CHILDREN'S CENTER,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBBG,COMMUNITY LIFE CENTER 2,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBBI,MANHATTAN EARLY CHILDHOOD CENTER,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBBJ,FT GEORGE CHILD  CENTER 1,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBCM,SINGLETON GEMS,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBFX,URBAN CONCEPTS/ROUND THE CLOCK,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBGQ,CCLC AT 4 NY PLAZA,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBGR,RENANIM MANHATTAN,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBGS,HUDSON GUILD,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBGT,FINGER PAINTED HANDS,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBGU,SUGAR HILL MUSEUM PRESCHOOL,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBHH,CENTER ANNEX (TRIBECA EARLY CHILDHOOD CENTER),0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBHM,CHILDCARE PARTNERS NY WEST,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBHV,MOREAU LMSW CHILDREN & FAMILY SERVICES PC,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBIW,CREATIVE STEPS EARLY CHILDHOOD CENTER,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBJS,NY PRESCHOOL TRIBECA,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBJU,UCP OF NYC MANHATTAN UPK,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBJV,VICTORIA CHILDREN'S CENTER,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBKF,SUNSHINE LC OF 3RD AVE,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBKK,RIVER PARK NURSERY SCHOOL,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBKR,PLAYTOGETHERNYC,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBKU,CPC LITTLE STAR OF BROOME STREET,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MBLL,MANHATTAN SCHOOLHOUSE,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAAB,BETH GAVRIEL/SHA'AREI ZION OHEL BRACHA,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAAD,A CHILD'S PLACE,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAAF,AL-IMAN SCHOOL,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAAM,BAIS YAAKOV ACADEMY OF QUEENS (METROPOLITAN AVE),46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAAV,BNOS MALKA ACADEMY,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QABC,CHRIST THE KING COMMUNITY PRESCHOOL,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QABL,"GARDEN SCHOOL, INC.",46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QABS,HOLY CHILD JESUS SCHOOL,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QACC,IMMACULATE CONCEPTION SCHOOL,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QACD,INCARNATION SCHOOL,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QACJ,JEWISH INSTITUTE OF QUEENS,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADN,AVE MARIA CATHOLIC ACADEMY,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADP,OUR LADY OF LOURDES CATHOLIC ACADEMY,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADQ,OUR LADY OF MERCY CATHOLIC ACADEMY,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADR,NOTRE DAME CATHOLIC ACADEMY OF RIDGEWOOD,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADU,ROMAN CATHOLIC CHURCH OF OUR LADY OF THE SNOWS D/B/A OUR LADY OF THE SNOWS SCHOOL,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADX,OUR LADY OF THE BLESSED SACRAMENT SCHOOL,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QADZ,OUR SAVIOUR LUTHERAN SCHOOL,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAEG,GRACE LUTHERAN SCHOOL,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAEK,RAZI SCHOOL,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAEN,RESURRECTION ASCENSION SCHOOL,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAEP,SACRED HEART CATHOLIC ACADEMY,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAEQ,SACRED HEART SCHOOL,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAER,SACRED HEART CATHOLIC ACADEMY,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAES,ST. ADALBERT'S RC SCHOOL,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFC,ST. CAMILLUS SCHOOL,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFF,ST. CLARE CATHOLIC ACADEMY,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFJ,SAINT ELIZABETH CATHOLIC ACADEMY,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFR,SAINT HELEN CATHOLIC ACADEMY,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFY,ST. KEVIN SCHOOL,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAFZ,ST. LEO CATHOLIC ACADEMY,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGC,ST. MARY GATE OF HEAVEN,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGI,ST. NICOLAS OF TOLENTINE SCHOOL,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGP,ST. SEBASTIAN SCHOOL,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGR,SAINT STANISLAUS KOSTKA SCHOOL,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGU,SAINT THOMAS THE APOSTLE SCHOOL,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAGW,SESAME SPROUT,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAHB,THE SOLOMON SCHECHTER SCHOOL OF QUEENS,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAHG,STEPPING STONE PRE &GRADE SCHOOL,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAHH,"STEPPING STONE DAY SCHOOL, INC.",40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAHI,SAINTS JOACHIM AND ANNE SCHOOL,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAIM,YESHIVA OF CENTRAL QUEENS,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAIR,YESHIVA TIFERETH MOSHE DAY CARE,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAIW,YESHIVATH OHR HAIIM,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAJB,"BOOKS AND RATTLES, INC. SITE 2",53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAJQ,FOREST HILLS JEWISH CENTER NURSERY AND PRE-K,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAJR,YMCA OF GREATER NEW YORK - FLUSHING,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAJX,YMCA OF GREATER NEW YORK - CROSS ISLAND,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKA,LITTLE MEADOWS EARLY CHILDHOOD CENTER,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKH,SAMUEL FIELD YM & YWHA (LITTLE NECK),37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKM,MI NUEVO MUNDO (31-05),43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKQ,DENIZKO DCC,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKT,MI NUEVO MUNDO,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKV,HONEYPOT DAY CARE,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKW,KWANIS FIRST STEP,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKY,KISSENA CHERRY DAY CARE,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAKZ,"BRIGHT BEGINNINGS IN QUEENS VILLAGE, INC.",19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALA,RAINBOW CHILD DEV CENTER,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALC,LITTLE SWEET ANGELS PRESCHOOL,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALD,KIDDIE ACADEMY OF LITTLE NECK,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALM,PROFESSIONAL CHILDCARE INC.,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALO,IMAGINE EARLY LEARNING CENTER,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALP,EARLY SUNRISE PRESCHOOL,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALQ,ELBER ISLAMIC SCHOOL,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QALW,PEEK-A-BOO! LEARNING CENTER,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMB,JACKSON HEIGHTS LEARNING CENTER ANNEX,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMJ,LITTLE DOLPHIN,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMK,"LOLLY'S EARLY CHILDHOOD CENTER, INC.",35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMO,GREATER RIDGEWOOD,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMS,KID KRAZY,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMT,RALPH HIRSCHKORN CHILD CARE CENTER,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMU,SARATOGA EARLY CHILDHOOD EDUCATION CENTER,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAMV,SCO FAMILY OF SERVICES JEROME HARDEMAN ECE,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANH,QUICK START DAY CARE CENTER INC.,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANJ,NORTH SIDE SCHOOL - PARSONS (HALF-DAY),0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANR,MALCOLM X DAY CARE,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANS,"A TO Z CENTER TOO, INC.",95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANT,THE CHILD CENTER OF NY 1,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANU,HAPPY DRAGON OF NEW YORK,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANV,"HAPPY DRAGON OF USA, INC.",72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QANZ,BATTALION CHRISTIAN ACADEMY,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAOC,AFRO AMERICAN PARENTS,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAOO,"BETH JACOB JEWISH EDUCATIONAL CENTER, INC.",38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAOQ,ROCKAWAY CHILD CARE CENTER,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAOW,ALL MY CHILDREN DAY CARE 6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPB,ALL MY CHILDREN DAY CARE 4,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPD,NY LEAGUE FOREST HILLS WEST,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPK,CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPL,SHOLOM DAY CARE 1,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPM,CHARLES R DREW ELC 3,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPP,BE ABOVE SITE 16,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPS,BE ABOVE 22 (NEW WORLD EDUCATION CENTER),54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPU,"XCEL TINY TOTS, INC.",6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAPW,QUEENSBRIDGE ECDC,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QAQC,HOWARD BEACH JUDEA CENTER,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARC,LUCILLE ROSE DCC,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARE,PAL WOODSIDE EARLY LEARN CENTER,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARG,SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC. CENTER 1,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARK,SHOLOM DAY CARE 2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARN,ALL MY CHILDREN DAY CARE 8,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARO,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT HEAD START 2,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARP,MYRTLE P. JARMON ECEC,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARQ,ALL MY CHILDREN,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QARX,REDEEMER LUTHERAN SCHOOL,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASB,MI NUEVO MUNDO,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASC,ST. MEL CATHOLIC ACADEMY,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASD,IMMANUEL GENIUS,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASE,"TALENTED LITTLE CHILDREN III / TLC SPIRIT, LLC",73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASF,IRA'S PARKWAY DAY CARE,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASG,POSITIVE BEGINNINGS II,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASH,JEWISH INSTITUTE OF QUEENS,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASI,"EARLY SUNRISE PRESCHOOL AND KINDERGARTEN, INC.",14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QASJ,NORTHSIDE SCHOOL,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
